Model,Target,Sources,N_sources,p,Feasible,SNPs_used,Levant_prop,Levant_se,Anatolia_prop,Anatolia_se,Iran_prop,Iran_se,Outgroup_set,Mesopotamia_prop,Mesopotamia_se,ZagrosMeso_prop,ZagrosMeso_se,Significant_props
3way_Levant_JordanMerged_Anatolia_Catalhoyuk_Iran_Wezmeh_out2,Israel_C.AG,Levant + Anatolia + Iran,3,0.2919197849987224,True,356420,0.4274122977121542,0.06397048258262217,0.4213732625106461,0.0696986211607079,0.1512144397771998,0.0247990942564895,out2,,,,,True
3way_Levant_JordanMerged_Anatolia_Catalhoyuk_Iran_Tepe_Wezmeh_out2,Israel_C.AG,Levant + Anatolia + Iran,3,0.291859574484061,True,357247,0.4375505648918682,0.06321825962977443,0.4181929332292394,0.06958611391745086,0.1442565018788925,0.02379659513860767,out2,,,,,True
3way_Levant_JordanBaja_Anatolia_Barcin_ZagrosMeso_GanjDareh_Shanidar_out2,Israel_C.AG,Levant + Anatolia + ZagrosMeso,3,0.2888905025071948,True,547167,0.3788272067443589,0.02647202165274556,0.5036302392827591,0.03399500116326735,,,out2,,,0.1175425539728821,0.01926164017113941,True
3way_Levant_JordanBaja_Anatolia_Barcin_Iran_HajjiFiruz_out4,Israel_C.AG,Levant + Anatolia + Iran,3,0.288527547373327,True,693581,0.3778435421444796,0.1106560504916638,0.4028690458240665,0.05064318739879153,0.2192874120314539,0.08920855064972091,out4,,,,,True
3way_Levant_Israel_Anatolia_Barcin_Iran_GanjDareh_out4,Israel_C.AG,Levant + Anatolia + Iran,3,0.2879752049856002,True,757217,0.3096559113961886,0.09240493010811897,0.5081167135892545,0.07189719604805801,0.1822273750145569,0.03210214327072461,out4,,,,,True
3way_Levant_Israel_Anatolia_Catalhoyuk_Iran_GanjDareh_Tepe_out2,Israel_C.AG,Levant + Anatolia + Iran,3,0.2870114351447736,True,382228,0.4931640580824517,0.07899683219561986,0.398699983904106,0.08546916986483494,0.1081359580134422,0.0270829028344508,out2,,,,,True
3way_Levant_Israel_Anatolia_Catalhoyuk_Iran_ZagrosMerged_out2,Israel_C.AG,Levant + Anatolia + Iran,3,0.2859675555778554,True,382625,0.4906744946387249,0.07831209643660142,0.3999250155131361,0.08437188431348776,0.109400489848139,0.02721279110952501,out2,,,,,True
3way_Levant_Israel_Anatolia_Barcin_ZagrosMeso_GanjDareh_Shanidar_out4,Israel_C.AG,Levant + Anatolia + ZagrosMeso,3,0.2852967924639168,True,757311,0.3086544491272639,0.09269477409980456,0.5080689594246711,0.07203062705311503,,,out4,,,0.1832765914480649,0.03226495398571979,True
3way_Levant_Jordan_Anatolia_Barcin_Meso_PPNA_out2,Israel_C.AG,Levant + Anatolia + Mesopotamia,3,0.2852921800380769,True,355059,0.4425321573047038,0.03821030249042923,0.2271131308523148,0.05753190896144602,,,out2,0.3303547118429814,0.04490246458216965,,,True
3way_Levant_Israel_Anatolia_Catalhoyuk_ZagrosMeso_IranZagros_IraqMerged_out2,Israel_C.AG,Levant + Anatolia + ZagrosMeso,3,0.283906626677382,True,382771,0.4891493049049229,0.07777037271479696,0.3977347867623816,0.08387453488980849,,,out2,,,0.1131159083326955,0.02791588520154888,True
3way_Levant_JordanMerged_Anatolia_Catalhoyuk_Iran_HajjiFiruz_out4,Israel_C.AG,Levant + Anatolia + Iran,3,0.2830334232001169,True,472100,0.3442619438680481,0.1467626684505484,0.3781619870679441,0.1095274527942958,0.2775760690640078,0.08278082857237101,out4,,,,,True
3way_Levant_JordanMerged_Anatolia_Catalhoyuk_Iran_GanjDareh_Tepe_out2,Israel_C.AG,Levant + Anatolia + Iran,3,0.2773944048050798,True,357971,0.441387894513788,0.06244521945015397,0.4123194470088765,0.06966197356670602,0.1462926584773356,0.0241738823862366,out2,,,,,True
